key,note,zh-TW,en,zh-TW 修改時間,en 修改時間,en 待更新?
settings.baseCurrencyDesc,,所有帳戶餘額換算後以此幣別顯示。,All account balances will be converted to this currency.,2026-06-13 08:22,2026-06-13 08:22,
settings.fxSource,,匯率來源,Rate Source,2026-06-13 08:22,2026-06-13 08:22,
settings.fxSourceDesc,,自動更新頻率：每小時一次,Auto update frequency: Every hour,2026-06-13 08:22,2026-06-13 08:22,
settings.ccy,,CCY,CCY,2026-06-13 08:22,2026-06-13 08:22,
settings.rate,,匯率 (/{base}),Rate (/{base}),2026-06-13 08:22,2026-06-13 08:22,
settings.change,,日變動,Change,2026-06-13 08:22,2026-06-13 08:22,
settings.manual,,手動覆蓋,Manual,2026-06-13 08:22,2026-06-13 08:22,
settings.alert,,提醒,Alert,2026-06-13 08:22,2026-06-13 08:22,
settings.generalDesc,,設定顯示偏好、語言、時區，以及備份你的資料庫。,"Configure display, language, timezone, and backups.",2026-06-13 08:22,2026-06-13 08:22,
settings.privacyMode,,隱藏金額（截圖模式）,Privacy Mode (Hide Amounts),2026-06-13 08:22,2026-06-13 08:22,
settings.privacyModeOn,,已開啟,On,2026-06-13 08:22,2026-06-13 08:22,
settings.privacyModeOff,,已關閉,Off,2026-06-13 08:22,2026-06-13 08:22,
settings.privacyModeDesc,,開啟後所有金額會以 ＊＊＊＊＊＊ 顯示，方便錄影或回報問題。可用 ⌘⇧H 快速切換。,Hides all monetary amounts. Can be toggled with ⌘⇧H.,2026-06-13 08:22,2026-06-13 08:22,
settings.language,,顯示語言,Language,2026-06-13 08:22,2026-06-13 08:22,
settings.languageDesc,,影響介面語言與股票名稱顯示偏好。,Affects app UI and asset names.,2026-06-13 08:22,2026-06-13 08:22,
settings.timeFormat,,時間制式,Time Format,2026-06-13 08:22,2026-06-13 08:22,
settings.timeFormatDesc,,影響新增收支時的時間挑選器。,Affects time pickers and displays.,2026-06-13 08:22,2026-06-13 08:22,
settings.timezone,,時區,Timezone,2026-06-13 08:22,2026-06-13 08:22,
settings.backupTitle,,備份與還原,Backup & Export,2026-06-13 08:22,2026-06-13 08:22,
settings.backupDesc,,匯出整份資料庫成 JSON 檔。匯入會覆蓋現有資料，請先備份再執行。,Export your entire database to a JSON file. Importing will overwrite all current data.,2026-06-13 08:22,2026-06-13 08:22,
settings.exportJson,,匯出備份 JSON,Export JSON Backup,2026-06-13 08:22,2026-06-13 08:22,
settings.importBackup,,匯入備份,Import Backup,2026-06-13 08:22,2026-06-13 08:22,
settings.dataExport,,匯出資料,Data Export,2026-06-13 08:22,2026-06-13 08:22,
settings.dataExportDesc,,選擇格式、時間範圍與帳戶，將你的資料匯出為本機檔案。,"Select format, range, and accounts to export data.",2026-06-13 08:22,2026-06-13 08:22,
settings.format,,檔案格式,File Format,2026-06-13 08:22,2026-06-13 08:22,
settings.timeRange,,時間範圍,Time Range,2026-06-13 08:22,2026-06-13 08:22,
settings.thisMonth,,本月,This Month,2026-06-13 08:22,2026-06-13 08:22,
settings.lastMonth,,上個月,Last Month,2026-06-13 08:22,2026-06-13 08:22,
settings.ytd,,今年至今,Year to Date,2026-06-13 08:22,2026-06-13 08:22,
settings.lastYear,,去年,Last Year,2026-06-13 08:22,2026-06-13 08:22,
settings.allTime,,全部,All Time,2026-06-13 08:22,2026-06-13 08:22,
settings.custom,,自訂範圍,Custom,2026-06-13 08:22,2026-06-13 08:22,
settings.includedFields,,包含欄位,Included Fields,2026-06-13 08:22,2026-06-13 08:22,
settings.transfers,,內部轉帳,Transfers,2026-06-13 08:22,2026-06-13 08:22,
settings.investments,,投資交易,Investments,2026-06-13 08:22,2026-06-13 08:22,
settings.tags,,標籤,Tags,2026-06-13 08:22,2026-06-13 08:22,
settings.notes,,備註,Notes,2026-06-13 08:22,2026-06-13 08:22,
settings.fxSnapshot,,匯率快照,FX Snapshot,2026-06-13 08:22,2026-06-13 08:22,
onboarding.ariaLabel,,Northstar 新手導覽,Northstar onboarding,2026-06-13 08:22,2026-06-13 08:22,
onboarding.brandTagline,導覽左欄品牌名稱底下的英文標語,Local-first finance,Local-first finance,2026-06-13 08:22,2026-06-13 08:22,
onboarding.stepIndicator,"導覽左欄「Step X of 4」步驟指示（current=目前步驟, total=總步驟）",步驟 {{current}} ，共 {{total}} 個步驟,Step {{current}} of {{total}},2026-06-13 08:22,2026-06-13 08:22,
onboarding.closeLabel,右上角關閉按鈕的無障礙標籤,關閉導覽,Close onboarding,2026-06-13 08:22,2026-06-13 08:22,
onboarding.panelDesc,導覽左欄主要說明段落（隱私／本機保存）,Northstar 不會自動連線到你的銀行。你可以選擇匯入 CSV、手動建立、或先用示範資料逛逛。所有資料只存在你的本機。,"Northstar never connects to your bank automatically. Import a CSV, add accounts manually, or explore with demo data. Everything stays on your device.",2026-06-13 08:22,2026-06-13 08:22,
onboarding.privacyNote,導覽左欄底部鎖頭框內的提醒,你的資料預設保存在這台裝置；同步與 Logo CDN 都是使用者手動開啟。,Your data stays on this device by default; sync and the logo CDN are opt-in.,2026-06-13 08:22,2026-06-13 08:22,
onboarding.loadingCard,選項卡載入中顯示的文字（如載入示範資料時）,處理中…,Working…,2026-06-13 08:22,2026-06-13 08:22,
onboarding.skip,底部「略過」按鈕,略過,Skip,2026-06-13 08:22,2026-06-13 08:22,
onboarding.back,底部「上一步」按鈕,← 上一步,← Back,2026-06-13 08:22,2026-06-13 08:22,
onboarding.next,底部「下一步」按鈕,下一步 →,Next →,2026-06-13 08:22,2026-06-13 08:22,
onboarding.finish,最後一步「完成」按鈕,完成,Done,2026-06-13 08:22,2026-06-13 08:22,
onboarding.steps.start,左欄步驟清單：第1步名稱,開始,Start,2026-06-13 08:22,2026-06-13 08:22,
onboarding.steps.accounts,左欄步驟清單：第2步名稱,帳戶,Accounts,2026-06-13 08:22,2026-06-13 08:22,
onboarding.steps.import,左欄步驟清單：第3步名稱,匯入,Import,2026-06-13 08:22,2026-06-13 08:22,
onboarding.steps.done,左欄步驟清單：第4步名稱,完成,Done,2026-06-13 08:22,2026-06-13 08:22,
onboarding.panelTitle.start,左欄大標題（第1步）,開始更了解你的財務狀況,Set up your finance cockpit,2026-06-13 08:22,2026-06-13 08:22,
onboarding.panelTitle.accounts,左欄大標題（第2步）,加入你的帳戶,Add your accounts,2026-06-13 08:22,2026-06-13 08:22,
onboarding.panelTitle.import,左欄大標題（第3步）,匯入流水帳,Import transactions,2026-06-13 08:22,2026-06-13 08:22,
onboarding.panelTitle.done,左欄大標題（第4步）,可以開始了,You're all set,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step0.title,第1步右側標題,你想從哪裡開始？,Where do you want to start?,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step0.description,第1步右側說明,先建立帳戶會讓淨值與現金流有基礎；如果你已經有 CSV，可以直接進匯入預覽。,"Adding an account gives net worth and cash flow a foundation; if you already have a CSV, jump straight to the import preview.",2026-06-13 08:22,2026-06-13 08:22,
onboarding.step0.manualTitle,第1步選項：手動建立帳戶（標題）,手動建立第一個帳戶,Add your first account manually,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step0.manualDesc,第1步選項：手動建立帳戶（說明）,銀行、現金、信用卡、券商帳戶等分類,"Bank, cash, credit card, and brokerage accounts are all supported.",2026-06-13 08:22,2026-06-13 08:22,
onboarding.step0.ledgerTitle,第1步選項：匯入流水帳 CSV（標題）,匯入一般流水帳 CSV,Import a ledger CSV,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step0.ledgerDesc,第1步選項：匯入流水帳 CSV（說明）,使用 date、account、amount、currency 等欄位批次匯入。,"Bulk import using date, account, amount, currency columns.",2026-06-13 08:22,2026-06-13 08:22,
onboarding.step0.investTitle,第1步選項：匯入投資交易 CSV（標題）,匯入投資交易 CSV,Import investment transactions CSV,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step0.investDesc,第1步選項：匯入投資交易 CSV（說明）,投資頁已支援欄位對應與預覽。,The Investments page supports column mapping and preview.,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step0.demoTitle,第1步選項：示範資料（標題）,先用示範資料逛逛,Explore with demo data,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step0.demoDesc,第1步選項：示範資料（說明）,不覆蓋你的正式資料，隨時可以結束示範模式。,Won't touch your real data — you can exit demo mode anytime.,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step1.title,第2步右側標題,加入你的帳戶,Add your accounts,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step1.description,第2步右側說明,帳戶名稱不需要跟銀行名稱完全一致；logo 可自動判讀，也能在帳戶編輯裡手選銀行或券商。,"Account names don't have to match the bank exactly; logos are auto-detected, and you can pick a bank or broker manually when editing an account.",2026-06-13 08:22,2026-06-13 08:22,
onboarding.step1.previewLabel,第2步示意：CSV 檔名與列數預覽（file/shown/total）,{{file}} · 預覽 {{shown}}/{{total}} 列,{{file}} · preview {{shown}}/{{total}} rows,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step1.fieldsMapped,第2步示意：欄位已對應的綠字提示,欄位已對應，可在匯入前檢查無效的列數,Fields mapped — review invalid rows before importing,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step1.createAccount,第2步「建立帳戶」按鈕,建立帳戶,Create account,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step1.importLedger,第2步「匯入流水帳」按鈕,匯入流水帳,Import ledger,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step2.title,第3步右側標題,匯入一般流水帳 CSV,Import a ledger CSV,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step2.description,第3步右側說明,支援一般記帳大量匯入。CSV 需要包含 date、account、amount、currency；account 會對應既有帳戶名稱或 id。,"Bulk import for everyday transactions. The CSV needs date, account, amount, currency; account matches an existing account name or id.",2026-06-13 08:22,2026-06-13 08:22,
onboarding.step2.chooseFile,第3步上傳框主文字,選擇 CSV 檔案,Choose a CSV file,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step2.chooseFileHasAccounts,第3步上傳框副文字（已有帳戶時）,會先產生預覽，不會直接寫入。,Generates a preview first — nothing is written directly.,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step2.chooseFileNoAccounts,第3步上傳框副文字（尚無帳戶時）,請先建立帳戶；否則 account 欄位無法對應。,"Add an account first, otherwise the account column can't be matched.",2026-06-13 08:22,2026-06-13 08:22,
onboarding.step2.previewTitle,第3步 CSV 預覽卡的預設標題（無檔名時）,CSV 預覽,CSV preview,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step2.previewCounts,第3步預覽：有效／無效列數（valid/invalid）,{{valid}} 有效 / {{invalid}} 無效,{{valid}} valid / {{invalid}} invalid,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step2.importButton,第3步「匯入 N 筆」按鈕（count=筆數）,匯入 {{count}} 筆,Import {{count}},2026-06-13 08:22,2026-06-13 08:22,
onboarding.step2.invalidMore,第3步：超出顯示的無效列數提示（count=剩餘筆數）,還有 {{count}} 筆無效列,{{count}} more invalid rows,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step2.allValid,第3步：全部可匯入提示,所有列都可匯入。,All rows are importable.,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step2.rowError,"第3步：單列錯誤（row=列號, reason=原因）",列 {{row}}: {{reason}},Row {{row}}: {{reason}},2026-06-13 08:22,2026-06-13 08:22,
onboarding.step2.importLater,第3步「稍後匯入」按鈕,稍後匯入,Import later,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step3.title,第4步右側標題,你已經準備好了,Your workspace is ready,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step3.description,第4步右側說明,接下來可以開始記帳、檢查投資交易，或到設定開啟銀行 Logo 與同步。,"Next, record transactions, review investments, or open Settings to turn on bank logos and sync.",2026-06-13 08:22,2026-06-13 08:22,
onboarding.step3.ledgerTitle,第4步選項：去記帳（標題）,去記一筆流水帳,Record a transaction,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step3.ledgerDesc,第4步選項：去記帳（說明）,快速建立收入、支出、轉帳或應收應付。,"Quickly add income, expenses, transfers, or receivables/payables.",2026-06-13 08:22,2026-06-13 08:22,
onboarding.step3.investTitle,第4步選項：整理投資（標題）,整理投資交易,Organize investments,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step3.investDesc,第4步選項：整理投資（說明）,新增持倉、匯入券商 CSV、設定定期定額。,"Add holdings, import a broker CSV, set up recurring buys.",2026-06-13 08:22,2026-06-13 08:22,
onboarding.step3.privacyTitle,第4步選項：資料與隱私（標題）,檢查資料與隱私設定,Review data & privacy settings,2026-06-13 08:22,2026-06-13 08:22,
onboarding.step3.privacyDesc,第4步選項：資料與隱私（說明）,開啟 Logo、同步、備份與匯率設定。,"Turn on logos, sync, backups, and FX settings.",2026-06-13 08:22,2026-06-13 08:22,
onboarding.toast.importSuccess,匯入成功的提示訊息（count=筆數）,成功匯入 {{count}} 筆流水帳,Imported {{count}} ledger transactions,2026-06-13 08:22,2026-06-13 08:22,
onboarding.toast.demoLoaded,載入示範資料成功的提示,已載入示範資料,Demo data loaded,2026-06-13 08:22,2026-06-13 08:22,
onboarding.toast.demoFailed,載入示範資料失敗的提示,載入示範資料失敗,Failed to load demo data,2026-06-13 08:22,2026-06-13 08:22,
investmentsAnalytics.etfBucket,,ETF / 基金,ETF / Fund,2026-06-25 20:23,2026-06-25 20:23,
investmentsAnalytics.otherSector,,其他,Other,2026-06-25 20:23,2026-06-25 20:23,
investmentsAnalytics.unknownSector,,未知,Unknown,2026-06-25 20:23,2026-06-25 20:23,
investmentsAnalytics.unknownRegion,,未知地區,Unknown,2026-06-25 20:23,2026-06-25 20:23,
investmentsAnalytics.sectorTitle,,產業分類分布,Sector allocation,2026-06-25 20:23,2026-06-25 20:23,
investmentsAnalytics.regionTitle,,持倉的國家／地區分布,Country / region allocation,2026-06-25 20:23,2026-06-25 20:23,
investmentsAnalytics.regionNote,,依持倉上市市場估算；ETF／基金以其本身上市地計入。,Estimated from each holding's listing market; ETFs/funds counted at their own listing.,2026-06-25 20:23,2026-06-25 20:23,
